year,county_5dcode,pop
1969,01001,23819
1969,01003,58915
1969,01005,22199
1969,01007,13739
1969,01009,26267
1969,01011,12069
1969,01013,22088
1969,01015,102757
1969,01017,36403
1969,01019,15034
1969,01021,24882
1969,01023,16610
1969,01025,27221
1969,01027,12435
1969,01029,10895
1969,01031,33938
1969,01033,49180
1969,01035,15541
1969,01037,10628
1969,01039,33736
1969,01041,13085
1969,01043,51314
1969,01045,52050
1969,01047,54913
1969,01049,40978
1969,01051,33534
1969,01053,34733
1969,01055,93673
1969,01057,16331
1969,01059,23506
1969,01061,21754
1969,01063,10854
1969,01065,16038
1969,01067,13114
1969,01069,55403
1969,01071,38311
1969,01073,642102
1969,01075,14123
1969,01077,66879
1969,01079,27183
1969,01081,60897
1969,01083,41528
1969,01085,12667
1969,01087,24573
1969,01089,185329
1969,01091,24044
1969,01093,22777
1969,01095,53179
1969,01097,313720
1969,01099,20722
1969,01101,166526
1969,01103,75536
1969,01105,15405
1969,01107,20286
1969,01109,24974
1969,01111,18158
1969,01113,45250
1969,01115,26984
1969,01117,36776
1969,01119,17657
1969,01121,65591
1969,01123,33870
1969,01125,113885
1969,01127,54756
1969,01129,16106
1969,01131,16327
1969,01133,16013
1969,02900,294290
1969,04001,30355
1969,04003,58783
1969,04005,45324
1969,04007,28205
1969,04009,16053
1969,04011,9823
1969,04013,938100
1969,04015,24144
1969,04017,45360
1969,04019,334518
1969,04021,65439
1969,04023,13470
1969,04025,34966
1969,04910,58405
1969,05001,23366
1969,05003,24685
1969,05005,14568
1969,05007,48697
1969,05009,18983
1969,05011,12576
1969,05013,5607
1969,05015,12142
1969,05017,18398
1969,05019,21304
1969,05021,18205
1969,05023,9906
1969,05025,6720
1969,05027,25372
1969,05029,16686
1969,05031,50144
1969,05033,24753
1969,05035,48644
1969,05037,19730
1969,05039,9813
1969,05041,18698
1969,05043,15191
1969,05045,30461
1969,05047,11242
1969,05049,7220
1969,05051,52280
1969,05053,9319
1969,05055,24039
1969,05057,18911
1969,05059,21741
1969,05061,11034
1969,05063,22103
1969,05065,7080
1969,05067,19837
1969,05069,85834
1969,05071,13353
1969,05073,10018
1969,05075,16053
1969,05077,19423
1969,05079,12962
1969,05081,10629
1969,05083,16571
1969,05085,26111
1969,05087,9410
1969,05089,6689
1969,05091,32683
1969,05093,62342
1969,05095,15993
1969,05097,5896
1969,05099,10058
1969,05101,5769
1969,05103,31293
1969,05105,5455
1969,05107,40639
1969,05109,8330
1969,05111,26598
1969,05113,12726
1969,05115,27405
1969,05117,10018
1969,05119,282530
1969,05121,12427
1969,05123,31214
1969,05125,34099
1969,05127,7795
1969,05129,7513
1969,05131,77606
1969,05133,10947
1969,05135,7857
1969,05137,6634
1969,05139,45762
1969,05141,7972
1969,05143,76052
1969,05145,37820
1969,05147,12071
1969,05149,13756
1969,06001,1063624
1969,06003,422
1969,06005,11389
1969,06007,99596
1969,06009,13369
1969,06011,12481
1969,06013,551751
1969,06015,14338
1969,06017,42499
1969,06019,406499
1969,06021,17602
1969,06023,99416
1969,06025,74240
1969,06027,15429
1969,06029,326627
1969,06031,66872
1969,06033,18717
1969,06035,16535
1969,06037,7004990
1969,06039,40779
1969,06041,209624
1969,06043,5626
1969,06045,50554
1969,06047,102594
1969,06049,7309
1969,06051,3698
1969,06053,244256
1969,06055,77545
1969,06057,25707
1969,06059,1383434
1969,06061,75651
1969,06063,11445
1969,06065,444529
1969,06067,622712
1969,06069,17959
1969,06071,675401
1969,06073,1337405
1969,06075,720222
1969,06077,288004
1969,06079,103499
1969,06081,557999
1969,06083,260947
1969,06085,1044211
1969,06087,120129
1969,06089,76554
1969,06091,2305
1969,06093,33131
1969,06095,168071
1969,06097,200370
1969,06099,191373
1969,06101,41249
1969,06103,29145
1969,06105,7411
1969,06107,184840
1969,06109,21615
1969,06111,368171
1969,06113,89662
1969,06115,44373
1969,08003,11168
1969,08005,156642
1969,08007,2868
1969,08009,5717
1969,08011,6463
1969,08015,9755
1969,08017,2362
1969,08019,4276
1969,08021,7871
1969,08023,3112
1969,08025,3077
1969,08027,1080
1969,08029,15218
1969,08031,508146
1969,08033,1680
1969,08035,7792
1969,08037,6889
1969,08039,3858
1969,08041,227441
1969,08043,21311
1969,08045,14249
1969,08047,1188
1969,08049,3697
1969,08051,7129
1969,08053,205
1969,08055,6746
1969,08057,1683
1969,08061,2049
1969,08063,7346
1969,08065,8136
1969,08067,18651
1969,08069,85558
